brendina,grety,partner
mark,xiommi,partner
m_ros,vale_rossi,parent
marghe,vale_rossi,partner
grety,xiommi,friend
mamma_marge,patty_B,parent
xiommi,ales_giom,parent
homer_S,marge_S,partner
giovi_g,grety,parent
mamma_marge,marge_S,parent
grety,leo_pol,parent
marge_S,maggie_S,parent
mark,ales_giom,parent
giovi_g,martaeffe,partner
homer_S,lisa_S,parent
clancy_B,marge_S,parent
clancy_B,selma_B,parent
marge_S,lisa_S,parent
homer_S,maggie_S,parent
clancy_B,patty_B,parent
nonna_simp,nonno_simp,partner
marietto,martaeffe,parent
brendina,leo_pol,parent
frapetti,marietto,partner
martaeffe,grety,parent
clancy_B,mamma_marge,partner
vale_rossi,mark,parent
nonna_simp,homer_S,parent
frapetti,martaeffe,parent
nonno_simp,homer_S,parent
nonna_simp,fratello_simp,parent
ludo_b,vale_rossi,parent
nonno_simp,fratello_simp,parent
marge_S,bart_S,parent
ludo_b,m_ros,partner
homer_S,bart_S,parent
brendina,vale_rossi,friend
marghe,mark,parent
mamma_marge,selma_B,parent
