CsanG,sofa000,friend
alvicheese,domi_123,friend
alvicheese,pao_bao,friend
alvicheese,ros_rus,son
alvicheese,sofa000,friend
caesar_salad,domi_123,friend
caesar_salad,nan_cer,partner
caesar_salad,sofa000,parent
domi_123,bocce_squad,member
domi_123,faber_crax,friend
domi_123,pao_bao,friend
domi_123,sofa000,friend
faber_crax,pao_bao,friend
faber_crax,sofa000,friend
milvich,silvich,parent
milvich,sofa000,acquaintance
nan_cer,sofa000,parent
pao_bao,sofa000,friend
ros_rus,milvich,partner
salvich,milvich,son
salvich,ros_rus,son
silvich,ros_rus,son
sofa000,bal_spiagg,member
sofa000,bocce_squad,member
sofa000,caesar_salad,son
totina,triX,friend
